2010.1.1,21112945 
2010.2.1,20392319 
2010.3.1,23524772 
2010.4.1,22218264 
2010.5.1,23036621 
2010.6.1,22913563 
2010.7.1,23938881 
2010.8.1,23995028 
2010.9.1,23511345 
2010.10.1,23616214 
2010.11.1,25570216 
2010.12.1,26602302 
2011.1.1,25425990 
2011.2.1,22568812 
2011.3.1,26279736 
2011.4.1,25368425 
2011.5.1,27252492 
2011.6.1,26196482 
2011.7.1,26668502 
2011.8.1,27794350 
2011.9.1,27089382 
2011.10.1,27245807 
2011.11.1,27501049 
2011.12.1,29040288 
2012.1.1,28108708 
2012.2.1,26489611 
2012.3.1,28248458 
2012.4.1,27842788 
2012.5.1,29919636 
2012.6.1,28224581 
2012.7.1,30295208 
2012.8.1,28540355 
2012.9.1,29094839 
2012.10.1,30234107 
2012.11.1,29997034 
2012.12.1,31053302 
2013.1.1,29673227 
2013.2.1,26736592 
2013.3.1,29564018 
2013.4.1,29676546 
2013.5.1,31042647 
2013.6.1,28859369 
2013.7.1,31587764 
2013.8.1,29880855 
2013.9.1,29149798 
2013.10.1,30787512 
2013.11.1,30059190 
2013.12.1,31719814 
2014.1.1,30141674 
2014.2.1,26739133 
2014.3.1,30162880 
2014.4.1,29305459 
2014.5.1,30546936 
2014.6.1,29838390 
2014.7.1,32269567 
2014.8.1,30799835 
2014.9.1,30253628 
2014.10.1,31654630 
2014.11.1,30755673 
2014.12.1,33241850 
2015.1.1,31008302 
2015.2.1,27969874 
2015.3.1,31601980 
2015.4.1,30934391 
2015.5.1,32385904 
2015.6.1,30680160 
2015.7.1,33624495 
2015.8.1,32345216 
2015.9.1,32152466 
2015.10.1,33918869 
2015.11.1,32775006 
2015.12.1,35109518 
2016.1.1,33210886 
2016.2.1,30516825 
2016.3.1,34100356 
2016.4.1,33352664 
2016.5.1,35373060 
2016.6.1,34617525 
2016.7.1,36442163 
2016.8.1,35658206 
2016.9.1,34533391 
2016.10.1,36322058 
2016.11.1,35928453 
2016.12.1,38214073 
2017.1.1,37057619 
2017.2.1,34209309 
2017.3.1,38393522 
2017.4.1,37401138 
2017.5.1,39487958 
2017.6.1,38010117 
2017.7.1,40379125 
2017.8.1,39058343 
2017.9.1,40045608 
2017.10.1,38321144 
2017.11.1,39955806 
2017.12.1,40943757 
2018.1.1,40918563 
2018.2.1,36782205 
2018.3.1,41537532 
2018.4.1,40824486 
2018.5.1,42697697 
2018.6.1,40900289 
2018.7.1,44202998 
2018.8.1,42120579 
2018.9.1,41761059 
2018.10.1,43948324 
2018.11.1,43150978 
2018.12.1,44413098 
2019.1.1,44936072 
2019.2.1,38921767 
2019.3.1,44496876 
2019.4.1,43591233 
2019.5.1,46109266 
2019.6.1,43594544 
2019.7.1,46211620 
2019.8.1,45275053 
2019.9.1,43921467 
2019.10.1,46599097 
2019.11.1,46743092 
2019.12.1,48407568 
2020.1.1,47333540 
2020.2.1,41266091 
2020.3.1,41916271 
2020.4.1,43066211 
2020.5.1,46919475 
2020.6.1,46392367 
2020.7.1,47806147 
2020.8.1,46377231 
2020.9.1,47128339 
2020.10.1,47304200 
2020.11.1,47680752 
2020.12.1,46881759 
2021.1.1,46268277 
2021.2.1,44023439 
2021.3.1,49869479 
2021.4.1,48970480 
2021.5.1,51219562 
2021.6.1,50209911 
2021.7.1,52583282 
2021.8.1,50076065 
2021.9.1,50710469 
2021.10.1,53469616 
2021.11.1,53827378 
2021.12.1,53993508 
2022.1.1,54539492 
2022.2.1,47029608 
2022.3.1,53934645 
2022.4.1,55138961 
2022.5.1,58451416 
